family	execution_arch	source	catalogue_generation	catalogue_label	canonical_id	current_display	weight_file	presentation_flags	waiver_reasons	review_status
Roformer	Mel-Band Roformer	Politrees		Roformer Model: MelBand Roformer | Karaoke by Aufr33 & Viperx	mdx:mel_band_roformer_karaoke_aufr33_viperx_sdr_10.1956	MelBand Roformer — Karaoke · Aufr33 & ViperX	mel_band_roformer_karaoke_aufr33_viperx_sdr_10.1956.ckpt			clean
Roformer	Mel-Band Roformer	Politrees		Roformer Model: MelBand Roformer | Karaoke by becruily	mdx:melband_roformer_karaoke_becruily	MelBand Roformer — Karaoke · Becruily	melband_roformer_karaoke_becruily.ckpt			clean
Roformer	Mel-Band Roformer	Politrees		Roformer Model: MelBand Roformer | Karaoke by Gabox	mdx:model_MelBand-Roformer_Karaoke_by-Gabox	MelBand Roformer — Karaoke · Gabox	model_MelBand-Roformer_Karaoke_by-Gabox.ckpt			clean
Roformer	Mel-Band Roformer	Politrees		Roformer Model: MelBand Roformer Kim | Big Beta v4 FT by Unwa	mdx:melband_roformer_big_beta4	MelBand Roformer — Kim Big Beta v4 Fine-Tuned · Unwa	melband_roformer_big_beta4.ckpt			clean
Roformer	Mel-Band Roformer	Politrees		Roformer Model: MelBand Roformer Kim | Big Beta v5e FT by Unwa	mdx:melband_roformer_big_beta5e	MelBand Roformer — Kim Big Beta v5e Fine-Tuned · Unwa	melband_roformer_big_beta5e.ckpt			clean
Roformer	Mel-Band Roformer	Politrees		Roformer Model: MelBand Roformer Kim | Big Beta v6 FT by Unwa	mdx:melband_roformer_big_beta6	MelBand Roformer — Kim Big Beta v6 Fine-Tuned · Unwa	melband_roformer_big_beta6.ckpt			clean
Roformer	Mel-Band Roformer	Politrees		Roformer Model: MelBand Roformer Kim | Big Beta v6x FT by Unwa	mdx:melband_roformer_big_beta6x	MelBand Roformer — Kim Big Beta v6x Fine-Tuned · Unwa	melband_roformer_big_beta6x.ckpt			clean
Roformer	Mel-Band Roformer	Politrees		Roformer Model: MelBand Roformer Kim | Big SYHFT v1 by SYH99999	mdx:MelBandRoformerBigSYHFTV1	MelBand Roformer — Kim Big SYHFT v1 · SYH99999	MelBandRoformerBigSYHFTV1.ckpt			clean
Roformer	Mel-Band Roformer	Politrees		Roformer Model: MelBand Roformer Kim | FT v2 Bleedless by Unwa	mdx:mel_band_roformer_kim_ft2_bleedless_unwa	MelBand Roformer — Kim Fine-Tuned v2 Bleedless · Unwa	mel_band_roformer_kim_ft2_bleedless_unwa.ckpt			clean
Roformer	Mel-Band Roformer	Politrees		Roformer Model: MelBand Roformer Kim | FT v2 by Unwa	mdx:mel_band_roformer_kim_ft2_unwa	MelBand Roformer — Kim Fine-Tuned v2 · Unwa	mel_band_roformer_kim_ft2_unwa.ckpt			clean
